#Frame      Mode1    Mode2    Mode3
     550   26.622   -6.399  -18.946
     551   26.348  -11.648  -19.556
     552   27.651   -4.481  -20.316
     553   26.703   -4.528  -24.503
     554   32.088   -8.529  -22.474
     555   35.718   -3.047  -20.162
     556   35.836   -3.246  -22.203
     557   39.915    3.062  -25.482
     558   34.765    1.627  -28.879
     559   36.128    0.740  -29.899
     560   36.878    1.668  -32.487
     561   30.166   -2.399  -31.763
     562   32.293   -0.572  -34.111
     563   32.493    0.116  -24.682
     564   30.021   -4.686  -26.654
     565   32.849   -1.931  -28.367
     566   31.858    2.096  -31.951
     567   29.502    0.602  -35.443
     568   32.836    5.938  -32.131
     569   35.565    2.263  -38.396
     570   35.448    4.284  -35.591
     571   30.283   -3.834  -32.629
     572   30.897   -0.925  -31.820
     573   28.678   -1.019  -30.214
     574   30.670   -4.541  -32.598
     575   31.682    0.688  -36.257
     576   38.133    9.635  -37.935
     577   37.306    6.997  -39.980
     578   37.882    6.447  -38.582
     579   35.791    8.367  -40.148
     580   33.362    5.959  -37.001
     581   34.322   10.523  -41.508
     582   32.880    7.065  -39.782
     583   28.308    4.879  -38.731
     584   29.176    1.571  -32.272
     585   31.210    4.017  -27.057
     586   25.951   -3.652  -30.071
     587   24.722   -4.248  -27.549
     588   21.321   -6.617  -31.403
     589   20.097   -5.058  -31.824
     590   21.535   -8.102  -26.319
     591   21.406   -3.386  -23.483
     592   22.148   -5.734  -23.863
     593   20.645   -7.222  -25.030
     594   20.858  -10.502  -24.578
     595   19.445   -8.727  -20.398
     596   18.353   -4.915  -24.008
     597   19.386   -1.657  -28.940
     598   20.249    0.286  -25.156
     599   22.139   -2.955  -30.473
     600   19.066   -4.673  -30.569
     601   21.457    0.844  -26.716
     602   26.680    3.967  -26.106
     603   23.487    5.790  -25.521
     604   23.618    3.862  -22.089
     605   23.186    7.110  -23.006
     606   24.773    9.033  -24.992
     607   27.317    8.375  -21.137
     608   28.459    8.816  -24.701
     609   27.678    9.145  -23.237
     610   21.253    8.738  -22.148
     611   21.614   -1.205  -22.157
     612   19.825    1.925  -26.203
     613   16.623    5.637  -34.863
     614   16.918    0.514  -34.894
     615   15.948    4.983  -29.756
     616   15.168    2.666  -27.095
     617   19.267    6.326  -30.186
     618   18.463    5.896  -27.294
     619   17.019    1.088  -33.484
     620   21.484    2.469  -35.011
     621   23.850    2.589  -36.132
     622   23.247    0.347  -36.538
     623   22.047   -0.479  -30.770
     624   20.386   -2.213  -25.703
     625   16.207  -10.311  -24.564
     626   14.521   -8.733  -28.643
     627   15.551  -10.529  -29.712
     628   18.849   -9.823  -26.204
     629   19.385  -11.995  -26.744
     630   18.126  -11.459  -23.212
     631   20.195   -6.639  -29.717
     632   14.531  -10.209  -29.185
     633   12.491  -13.915  -30.475
     634   15.820  -10.544  -26.533
     635   12.829   -6.933  -24.942
     636   14.697   -4.660  -29.347
     637   15.859   -9.502  -26.225
     638   13.962  -11.017  -27.686
     639   15.875   -8.364  -26.703
     640   12.801   -9.258  -27.388
     641   14.457   -2.191  -31.862
     642   12.791   -7.827  -28.253
     643   10.352   -6.058  -27.551
     644   16.021   -6.900  -28.631
     645   17.009   -4.836  -28.216
     646   16.721   -7.492  -28.691
     647   13.518   -7.523  -32.089
     648   17.190   -5.289  -30.215
     649   18.902   -5.355  -23.419
     650   14.357   -4.229  -30.325
     651   14.935   -7.853  -25.823
     652   16.419   -4.969  -27.604
     653   13.630   -7.145  -30.668
     654    8.164   -9.398  -27.056
     655   13.492  -15.785  -27.493
     656   12.412  -13.406  -30.334
     657    8.786  -14.998  -34.012
     658   14.471   -9.471  -37.637
     659   13.495  -17.919  -35.041
     660   12.969  -15.952  -34.258
     661   15.251  -10.238  -27.804
     662   13.825   -8.323  -32.281
     663   15.019  -17.136  -29.361
     664   15.103  -18.797  -23.937
     665   18.975   -9.722  -25.937
     666   16.698   -8.273  -25.185
     667   16.352   -5.393  -21.942
     668   16.792  -11.036  -21.363
     669   12.956  -16.971  -24.206
     670   17.803   -9.877  -25.268
     671   14.771   -9.305  -22.701
     672   12.509   -7.378  -27.463
     673   16.238   -9.035  -24.375
     674   14.777   -8.792  -27.345
     675   16.018   -8.996  -28.990
     676   16.490  -11.213  -32.616
     677   13.645  -12.338  -26.377
     678   16.231   -9.992  -27.531
     679   20.554   -2.898  -27.558
     680   24.349    3.934  -22.933
     681   23.688    2.828  -26.741
     682   26.866    0.648  -30.918
     683   26.232   -0.629  -29.223
     684   24.798    1.512  -29.914
     685   24.404   -0.772  -28.539
     686   23.292   -2.814  -28.052
     687   21.949   -5.516  -29.057
     688   22.214   -7.292  -22.045
     689   22.730   -3.452  -22.477
     690   26.588   -7.119  -27.431
     691   21.502   -6.875  -30.529
     692   15.535  -13.247  -22.765
     693   15.978   -7.012  -22.554
     694   19.728   -9.365  -31.042
     695   18.565  -11.307  -28.773
     696   20.998   -8.939  -21.376
     697   23.165   -6.926  -24.034
     698   21.252   -4.215  -22.653
