#Frame      Mode1    Mode2    Mode3
     826  123.462    1.442   39.345
     827  125.546   -5.408   31.569
     828  132.760   -2.437   33.898
     829  129.272   -8.032   32.076
     830  127.320   -8.149   29.166
     831  129.770   -8.569   27.683
     832  131.497   -8.697   31.285
     833  122.068  -13.080   31.598
     834  120.636   -9.470   27.048
     835  121.602  -13.907   29.502
     836  125.705  -12.209   32.811
     837  124.074  -14.296   33.479
     838  122.012  -16.655   29.044
     839  122.474  -12.674   31.223
     840  121.407   -9.065   27.290
     841  124.976  -12.903   25.823
     842  118.976  -12.176   26.461
     843  122.316  -12.149   21.861
     844  122.991  -10.853   20.108
     845  126.814  -12.452   27.547
     846  129.114  -11.948   26.142
     847  127.198  -13.145   27.496
     848  124.268   -8.724   33.642
     849  123.097   -4.480   32.223
     850  122.372   -7.927   40.579
     851  122.936  -10.640   37.968
     852  121.945   -7.921   37.547
     853  126.521   -3.216   38.478
     854  127.574  -10.492   28.809
     855  128.362   -6.134   31.205
     856  122.908  -11.009   23.435
     857  121.474  -14.430   27.435
     858  126.692  -13.928   30.392
     859  127.110  -14.194   34.321
     860  129.875  -11.619   34.682
     861  128.670  -18.940   31.583
     862  128.393  -17.149   31.952
     863  130.362  -15.746   30.618
     864  135.004  -11.816   35.841
     865  134.546   -9.707   29.841
     866  130.956  -13.678   32.707
     867  132.468  -13.189   30.217
     868  127.721  -14.611   27.667
     869  128.121  -12.934   25.829
     870  127.023  -13.076   29.934
     871  132.104  -11.969   32.193
     872  135.858  -18.419   26.779
     873  137.353  -13.442   25.152
     874  132.384  -20.902   24.599
     875  133.018  -21.002   29.724
     876  133.261  -15.860   34.293
     877  137.982  -19.337   33.802
     878  133.027  -13.189   35.566
     879  135.202  -17.025   38.298
     880  134.368  -13.557   42.549
     881  130.117  -24.660   40.536
     882  129.142  -22.933   34.871
     883  128.157  -24.081   29.976
     884  128.598  -19.761   29.566
     885  126.961  -20.394   28.394
     886  127.571  -19.912   31.364
     887  135.701  -23.403   27.568
     888  139.959  -20.525   31.906
     889  131.025  -16.019   28.802
     890  128.048  -18.421   33.661
     891  131.471  -22.058   33.268
